sku,brand,name,categoryFile,productUrl,sourceImageUrl,imageUrl
FG-4024-LINEAR-FIREPLACE,Fire Garden,Fire Garden 4024 Linear Outdoor Gas Fireplace,outdoor-fireplaces-scraped.json,https://www.firegardenoutdoors.com/4024-linear-fireplace/,https://www.firegardenoutdoors.com/wp-content/uploads/2023/08/FG_SS3_Install_L_1600.jpg,/products-upgraded/outdoor-fireplaces/fg-4024-linear-fireplace.webp
FG-6424-LINEAR-FIREPLACE,Fire Garden,Fire Garden 6424 Linear Outdoor Gas Fireplace,outdoor-fireplaces-scraped.json,https://www.firegardenoutdoors.com/6424-linear-fireplaces/,https://www.firegardenoutdoors.com/wp-content/uploads/2023/03/FG_SS_Install_L_Install_1600.jpg,/products-upgraded/outdoor-fireplaces/fg-6424-linear-fireplace.webp
FG-4035-TRADITIONAL-FIREPLACE,Fire Garden,Fire Garden 4035 Outdoor Traditional Gas Fireplace,outdoor-fireplaces-scraped.json,https://www.firegardenoutdoors.com/4035-outdoor-traditional-gas-fireplaces/,https://www.firegardenoutdoors.com/wp-content/uploads/2023/03/4035_Traditional_Birch_1600.jpg,/products-upgraded/outdoor-fireplaces/fg-4035-traditional-fireplace.webp
FG-VORACIOUS-BURNERS,Fire Garden,Fire Garden Voracious Fire Pit Burners,outdoor-fireplaces-scraped.json,https://www.firegardenoutdoors.com/voracious-fire-pit-burners/,https://www.firegardenoutdoors.com/wp-content/uploads/2023/10/FG_32VF_FRFInstall_16x6.jpg,/products-upgraded/outdoor-fireplaces/fg-voracious-burners.webp
FG-TEMPEST-TORCH,Fire Garden,Fire Garden Tempest Outdoor Torch,outdoor-fireplaces-scraped.json,https://www.firegardenoutdoors.com/product/tempest-20k-torches-24v-electric-ignition-ng-torch/,https://www.firegardenoutdoors.com/wp-content/uploads/cache/2022/05/TempestTorch_L_Sq_560/2452072514.jpg,/products-upgraded/outdoor-fireplaces/fg-tempest-torch.webp
FG-36-FIREPIT-BURNER,Fire Garden,Fire Garden 36 Inch Fire Pit Burner,outdoor-fireplaces-scraped.json,https://www.firegardenoutdoors.com/product/36-firepit-burner/,https://www.firegardenoutdoors.com/wp-content/uploads/2022/05/FG_36FirepitCartridge_R3_800Crop-700x526.jpg,/products-upgraded/outdoor-fireplaces/fg-36-firepit-burner.webp
