sku,status,imageUrl,sourceImageUrl,reason
H8983,skipped,,,no-real-photo
K2016,skipped,,,no-real-photo
W570-0071,skipped,,,no-real-photo
W350-0417,skipped,,,no-real-photo
W105-0020-SER,skipped,,,no-real-photo
4018-022,skipped,,,no-real-photo
PL56818,skipped,,,no-real-photo
SRV7044-217,skipped,,,no-real-photo
SRV569-711,skipped,,,no-real-photo
SRV4082-174,skipped,,,no-real-photo
AM-2-45,skipped,,,no-real-photo
W010-1736,skipped,,,no-real-photo
GR33,skipped,,,no-real-photo
W020-0723,skipped,,,no-real-photo
W010-3518,skipped,,,no-real-photo
W500-0446,skipped,,,no-real-photo
J4021,skipped,,,no-real-photo
J4821,skipped,,,no-real-photo
PL65913,skipped,,,no-real-photo
SRV33700,skipped,,,no-real-photo
SRV2283-713,skipped,,,no-real-photo
SRV7033-017,skipped,,,no-real-photo
SRV4087-315,skipped,,,no-real-photo
2090051,skipped,,,no-real-photo
7082-107MBK,skipped,,,no-real-photo
SRV2045-710,skipped,,,no-real-photo
W010-2859,skipped,,,no-real-photo
3090480,skipped,,,no-real-photo
MT-350-CBASS,skipped,,,no-real-photo
80P52589-R,skipped,,,no-real-photo
W335-0048,skipped,,,no-real-photo
SRV2282-720,skipped,,,no-real-photo
PR-SR2245,skipped,,,no-real-photo
2180020,skipped,,,no-real-photo
BPA-700-18SS,skipped,,,no-real-photo
SRV4059-512,skipped,,,no-real-photo
50-231,skipped,,,no-real-photo
80P53871-R,skipped,,,no-real-photo
W200-0653-SER,skipped,,,no-real-photo
4000-121,skipped,,,no-real-photo
NGK-750F,skipped,,,no-real-photo
SRV2285-727,skipped,,,no-real-photo
SRV2310-144,skipped,,,no-real-photo
2040039,skipped,,,no-real-photo
4031-289,skipped,,,no-real-photo
062-550,skipped,,,no-real-photo
NGK-MS32,skipped,,,no-real-photo
3120168,skipped,,,no-real-photo
J3716,skipped,,,no-real-photo
SRV7072-004,skipped,,,no-real-photo
W565-0287-SER,skipped,,,no-real-photo
SRV7037-038,skipped,,,no-real-photo
J7992,skipped,,,no-real-photo
W527-0009,skipped,,,no-real-photo
W497-0064-SER,skipped,,,no-real-photo
W715-1115,skipped,,,no-real-photo
W630-0009,skipped,,,no-real-photo
W080-1062,skipped,,,no-real-photo
BRNR-MB,updated,/products/parts/brnr-mb.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/1280x1280/products/16211/69347/BRNR-MB-1__27454.1776873817.jpg?c=2,downloaded
SRV2281-714,skipped,,,no-real-photo
4062-154,skipped,,,no-real-photo
LOGS-CFL18,skipped,,,no-real-photo
2241-101,skipped,,,no-real-photo
J7536,skipped,,,no-real-photo
2200232,skipped,,,no-real-photo
2090012,skipped,,,no-real-photo
GGA38,skipped,,,no-real-photo
OA10166,skipped,,,no-real-photo
J6532,skipped,,,no-real-photo
HTI-13-002,skipped,,,no-real-photo
4-00-777565P,skipped,,,no-real-photo
SRV2282-724,skipped,,,no-real-photo
J4728,skipped,,,no-real-photo
W750-0272,skipped,,,no-real-photo
PL65115,skipped,,,no-real-photo
SRV2281-723,skipped,,,no-real-photo
W135-0726,skipped,,,no-real-photo
SRV2275-007,skipped,,,no-real-photo
W010-2514-SER,skipped,,,no-real-photo
21220,skipped,,,no-real-photo
2020020,skipped,,,no-real-photo
4110531,skipped,,,no-real-photo
W350-0260,skipped,,,no-real-photo
W100-0237-SER,skipped,,,no-real-photo
SRV4082-207,skipped,,,no-real-photo
J6979,skipped,,,no-real-photo
H7878,skipped,,,no-real-photo
W080-1306,skipped,,,no-real-photo
