file,brand,sku,name
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL72SSFSEN-NG","The Outdoor Plus 72 Inch Stainless Steel See Through Outdoor Gas Fireplace - Spark Ignition"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL84PCEKIT-BLK-NG","The Outdoor Plus 84 Inch Williams See-Thru Outdoor Gas Fireplace - Plug and Play"
"gas-fireplaces-scraped.json","The","TOP-OPT-HNT96RTF-NG","The Outdoor Plus RTF 96 Inch Huntington Outdoor Gas Fireplace - Match Lit"
"gas-fireplaces-scraped.json","The","TOP-OPT-HNT108RTF-NG","The Outdoor Plus RTF 108 Inch Huntington Outdoor Gas Fireplace - Match Lit"
"gas-fireplaces-scraped.json","The","TOP-OPT-HNT108RTFEKIT-NG","The Outdoor Plus RTF 108 Inch Huntington Outdoor Gas Fireplace - Electronic"
"gas-fireplaces-scraped.json","The","TOP-OPT-HNT108RTFE12V-NG","The Outdoor Plus RTF 108 Inch Huntington Outdoor Gas Fireplace - 12V Electronic"
"gas-fireplaces-scraped.json","The","TOP-OPT-HNT96RTFFSML-NG","The Outdoor Plus RTF 96 Inch Huntington Outdoor Gas Fireplace - Flame Sense Match Lit"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL96SS-NG","The Outdoor Plus 96 Inch Stainless Steel See Through Outdoor Gas Fireplace - Match Lit"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL96SSFSML-NG","The Outdoor Plus 96 Inch Stainless Steel See Through Outdoor Gas Fireplace - Flame Sense Match Lit"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL72PCEKIT-BLK-NG","The Outdoor Plus 72 Inch Williams See-Thru Outdoor Gas Fireplace - Plug and Play"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL72PCFSML-BLK-NG","The Outdoor Plus 72 Inch Williams See-Thru Outdoor Gas Fireplace - Flame Sense Match Light"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL84PC-BLK-NG","The Outdoor Plus 84 Inch Williams See-Thru Outdoor Gas Fireplace - Match Light"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL84PCE12V-BLK-NG","The Outdoor Plus 84 Inch Williams See-Thru Outdoor Gas Fireplace - 12V Electronic Ignition"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL84RTFE12V-NG","The Outdoor Plus RTF 84 Inch Williams Outdoor See Thru Gas Fireplace - 12V Electronic"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL84RTFFSML-NG","The Outdoor Plus RTF 84 Inch Williams Outdoor See Thru Gas Fireplace - Flame Sense Match Lit"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL84RTFSC-NG","The Outdoor Plus RTF 84 Inch Williams Outdoor See Thru Scupper Gas Fireplace - Match Lit"
"gas-fireplaces-scraped.json","The","TOP-TFL-WILL96CSFSEN-NG","The Outdoor Plus 96 Inch Corten Steel See Through Outdoor Gas Fireplace - Spark Ignition"
"gas-fireplaces-scraped.json","The","TOP-OPT-BKY120RTFE12V-NG","The Outdoor Plus RTF 120 Inch Berkeley Outdoor See Thru Gas Fireplace - 12V Electronic"
"gas-fireplaces-scraped.json","The","TOP-OPT-BKY96RTFFSEN-NG","The Outdoor Plus RTF 96 Inch Berkeley Outdoor See Thru Gas Fireplace - Flame Sense Spark"
"gas-fireplaces-scraped.json","The","TOP-OPT-HNT120RTFEKIT-NG","The Outdoor Plus RTF 120 Inch Huntington Outdoor Gas Fireplace - Electronic"
"gas-fireplaces-scraped.json","The","TOP-OPT-HNT84RTFFSML-NG","The Outdoor Plus RTF 84 Inch Huntington Outdoor Gas Fireplace - Flame Sense Match Lit"
"gas-fireplaces-scraped.json","The","TOP-OPT-HNT96RTFE12V-NG","The Outdoor Plus RTF 96 Inch Huntington Outdoor Gas Fireplace - 12V Electronic"
"gas-fireplaces-scraped.json","The","TOP-OPT-BKY108RTFE12V-NG","The Outdoor Plus RTF 108 Inch Berkeley Outdoor See Thru Gas Fireplace - 12V Electronic"
