priority_rank,priority_tier,priority_score,category_file,sku,brand,normalized_brand,model_guess,name,slug,current_image_path_url,current_local_image_exists,is_best_seller,rating,review_count,sale_price
59,B,196.2,data/gas-fireplaces-scraped.json,MAJ-LCOR-DV36IN,Majestic,Majestic,LCOR-DV36IN,Majestic 36 Inch Direct Vent Natural Gas Fireplace with IntelliFire Touch Ignition - Left Corner,maj-lcor-dv36in,/products/gas-fireplaces/maj-lcor-dv36in-32c9482e.webp,yes,False,5.0,1,4419.0
60,B,196.1,data/gas-fireplaces-scraped.json,CUI-DVX42FP93CLN,Empire,Empire,DVX42FP93CLN,Empire 42 Inch Tahoe Luxury Direct Vent Fireplace RF Package - IPI,cui-dvx42fp93cln,/products/gas-fireplaces/cui-dvx42fp93cln-625e371a.webp,yes,False,4.0,1,4909.0
61,B,195.7,data/outdoor-fireplaces-scraped.json,KGM-OFP7972S1,Kingsman,Kingsman,OFP7972S1,Kingsman 72 Inch Single Sided Barbara Jean Series Outdoor Linear Gas Fireplace,kgm-ofp7972s1,/products/outdoor-fireplaces/kgm-ofp7972s1-29edddae.webp,yes,False,5.0,9,4765.79
62,B,195.6,data/gas-fireplaces-scraped.json,CUI-OLL48FP12SN,Empire,Empire,OLL48FP12SN,Empire OLL48FP12SN Carol Rose Outdoor Stainless Steel Linear Fireplace,cui-oll48fp12sn,/products/gas-fireplaces/cui-oll48fp12sn-ce595907.webp,yes,False,5.0,1,4359.0
63,B,195.5,data/outdoor-fireplaces-scraped.json,SUP-ODLVF72ZEN,Superior,Superior,ODLVF72ZEN,Superior VRE4672 Series 72 Inch Outdoor Vent Free Linear Gas Fireplace,sup-odlvf72zen,/products/outdoor-fireplaces/sup-odlvf72zen-fbe3b153.webp,yes,False,4.9,8,8669.0
64,B,195.2,data/gas-fireplaces-scraped.json,MON-ODCOUG-42,Outdoor,Outdoor Lifestyles,ODCOUG-42,Outdoor Lifestyles Courtyard 42 Inch Outdoor Traditional Fireplace,mon-odcoug-42,/products/gas-fireplaces/mon-odcoug-42-2c9b7e00.webp,yes,False,5.0,8,2919.0
65,B,195.1,data/gas-fireplaces-scraped.json,SUP-VRE4536WS,Superior,Superior,VRE4536WS,Superior VRE4536 Custom Series 36 Inch Outdoor Vent-Free Gas Fireplace Firebox,sup-vre4536ws,/products/gas-fireplaces/sup-vre4536ws-5a605356.webp,yes,False,4.0,1,4809.0
66,B,195.0,data/gas-fireplaces-scraped.json,FGO-OFP-36LECO-NLED,Firegear,Firegear,OFP-36LECO-NLED,Firegear 36 Inch Kalea Bay Outdoor Linear Fireplace with LED Lights,fgo-ofp-36leco-nled,/products/gas-fireplaces/fgo-ofp-36leco-nled-3a71ed30.webp,yes,False,5.0,1,4299.0
67,B,194.9,data/gas-fireplaces-scraped.json,EMP-EMBC3SUH-DVP36FP31N,Empire,Empire,EMBC3SUH-DVP36FP31N,Empire Corner Mantel and Tahoe Premium 36 Inch Direct Vent Fireplace with Blower - Millivolt Pilot,emp-embc3suh-dvp36fp31n,/products/gas-fireplaces/emp-embc3suh-dvp36fp31n-13249422.webp,yes,False,5.0,2,4088.0
68,B,193.1,data/gas-fireplaces-scraped.json,NPL-AX36NTE-1,Napoleon,Napoleon,AX36NTE-1,Napoleon 36 Inch Updated Altitude X Direct Vent Gas Fireplace,npl-ax36nte-1,/products/gas-fireplaces/npl-ax36nte-1-fd1156b0.webp,yes,False,5.0,1,4109.0
69,B,192.9,data/gas-fireplaces-scraped.json,KGM-MCVP42N,Kingsman,Kingsman,MCVP42N,Kingsman Clean View Peninsula Direct Vent Gas Fireplace - Millivolt - MCVP42,kgm-mcvp42n,/products/gas-fireplaces/kgm-mcvp42n-d5250c4b.webp,yes,False,5.0,1,4087.19
70,B,192.9,data/gas-fireplaces-scraped.json,SUP-VRT4550RS,Superior,Superior,VRT4550RS,Superior 50 Inch VRT4500 Custom Series Vent Free Gas Fireplace Firebox,sup-vrt4550rs,/products/gas-fireplaces/sup-vrt4550rs-00b13d13.webp,yes,False,5.0,1,4089.0
71,B,192.7,data/gas-fireplaces-scraped.json,MAJ-QUARTZPLA36IL,Majestic,Majestic,QUARTZPLA36IL,Majestic Quartz 36 Inch Quartz Platinum Top/Rear Direct Vent Gas Fireplace with IntelliFire Touch,maj-quartzpla36il,/products/gas-fireplaces/maj-quartzpla36il-5660ca54.webp,yes,False,5.0,3,3669.0
72,B,192.6,data/gas-fireplaces-scraped.json,MAJ-MER42N,Majestic,Majestic,MER42N,Majestic 42 Inch Meridian Gas Direct Vent Fireplace,maj-mer42n,/products/gas-fireplaces/maj-mer42n-7524eacc.webp,yes,False,5.0,1,4059.0
73,B,192.5,data/gas-fireplaces-scraped.json,CUI-DVP36FP91N,Empire,Empire,DVP36FP91N,Empire 36 Inch Tahoe Premium Direct Vent Fireplace RF Package,cui-dvp36fp91n,/products/gas-fireplaces/cui-dvp36fp91n-8e54fc7e.webp,yes,False,5.0,4,3449.0
74,B,192.2,data/gas-fireplaces-scraped.json,CUI-DVP36SP32EN,Empire,Empire,DVP36SP32EN,Empire 36 Inch Tahoe Premium Direct Vent See Through Fireplace,cui-dvp36sp32en,/products/gas-fireplaces/cui-dvp36sp32en-854dc62a.webp,yes,False,5.0,2,3819.0
75,B,192.2,data/gas-fireplaces-scraped.json,NPL-E42NTE,Napoleon,Napoleon,E42NTE,Napoleon 42 Inch Elevation Direct Vent Gas Fireplace - Electronic Ignition,npl-e42nte,/products/gas-fireplaces/npl-e42nte-a72ce15a.webp,yes,False,5.0,1,4019.0
76,B,192.0,data/gas-fireplaces-scraped.json,SUP-DRL3535TEN,Superior,Superior,DRL3535TEN,Superior 35 Inch DRL3500 Series Contemporary Linear Direct Vent Natural Gas Fireplace,sup-drl3535ten,/products/gas-fireplaces/sup-drl3535ten-133f7b59.webp,yes,False,5.0,1,3999.0
77,B,192.0,data/gas-fireplaces-scraped.json,KGM-ZCVRB60NE,Kingsman,Kingsman,ZCVRB60NE,Kingsman ZCVRB60 Linear Direct Vent Gas Fireplace - IPI Pilot,kgm-zcvrb60ne,/products/gas-fireplaces/kgm-zcvrb60ne-df088e64.webp,yes,False,5.0,1,4001.39
78,B,192.0,data/gas-fireplaces-scraped.json,EMP-EMBC4SUH-DVD42FP31N,Empire,Empire,EMBC4SUH-DVD42FP31N,Empire Corner Mantel and 42 Inch Tahoe Deluxe Direct Vent Fireplace with Blower - Millivolt Pilot,emp-embc4suh-dvd42fp31n,/products/gas-fireplaces/emp-embc4suh-dvd42fp31n-13249422.webp,yes,False,5.0,1,3998.0
79,B,192.0,data/outdoor-fireplaces-scraped.json,ODL-ODLANAIGST-48,Outdoor,Outdoor Lifestyles,ODLANAIGST-48,Outdoor Lifestyles 48 Inch Lanai See-Through Linear Outdoor Gas Fireplace - IntelliFire IPI,odl-odlanaigst-48,/products/outdoor-fireplaces/odl-odlanaigst-48-2e8775cb.webp,yes,False,4.6,7,5139.0
80,B,191.7,data/gas-fireplaces-scraped.json,EMP-EMBC4SUH-DVP42FP30N,Empire,Empire,EMBC4SUH-DVP42FP30N,Empire Corner Mantel and 42 Inch Tahoe Premium Direct Vent Fireplace - Millivolt Pilot,emp-embc4suh-dvp42fp30n,/products/gas-fireplaces/emp-embc4suh-dvp42fp30n-13249422.webp,yes,False,5.0,1,3968.0
81,B,191.3,data/gas-fireplaces-scraped.json,CUI-DVP42FP91N,Empire,Empire,DVP42FP91N,Empire 42 Inch Tahoe Premium Direct Vent Fireplace RF Package,cui-dvp42fp91n,/products/gas-fireplaces/cui-dvp42fp91n-06609424.webp,yes,False,5.0,3,3529.0
82,B,191.2,data/gas-fireplaces-scraped.json,MAJ-RCOR-DV36IN,Majestic,Majestic,RCOR-DV36IN,Majestic 36 Inch Direct Vent Natural Gas Fireplace with IntelliFire Touch Ignition - Right Corner,maj-rcor-dv36in,/products/gas-fireplaces/maj-rcor-dv36in-cd5c5df9.webp,yes,False,4.0,1,4419.0
83,B,191.1,data/gas-fireplaces-scraped.json,FRK-01FR0048,FireRock,FireRock,01FR0048,FireRock 48 Inch Conventional Masonry Fireplace,frk-01fr0048,/products/gas-fireplaces/frk-01fr0048-fe3884e4.webp,yes,False,4.5,4,3564.59
84,B,191.0,data/gas-fireplaces-scraped.json,MON-AVFL42NIF-RB,Monessen,Monessen,AVFL42NIF-RB,Monessen 42 Inch Artisan Vent Free Linear Gas Fireplace - 24K BTU,mon-avfl42nif-rb,/products/gas-fireplaces/mon-avfl42nif-rb-8b2bb017.webp,yes,False,4.6,7,2899.0
85,B,191.0,data/gas-fireplaces-scraped.json,SUP-VRL3045ZEN,Superior,Superior,VRL3045ZEN,Superior 45 Inch VRL3045 Vent Free Linear Gas Fireplace,sup-vrl3045zen,/products/gas-fireplaces/sup-vrl3045zen-55a99a7e.webp,yes,False,5.0,1,3899.0
86,B,190.7,data/gas-fireplaces-scraped.json,BSC-PA-KDFPC34-NV-344EBLP-CONTMP,Buck,Buck,PA-KDFPC34-NV-344EBLP-CONTMP,Buck Stove Classic Corner Fireplace Mantel with Model 34 Contemporary Vent Free Gas Fireplace,bsc-pa-kdfpc34-nv-344eblp-contmp,/products/gas-fireplaces/bsc-pa-kdfpc34-nv-344eblp-contmp-ed38bb9f.webp,yes,False,5.0,2,3674.0
87,B,190.5,data/gas-fireplaces-scraped.json,NPL-BLP42NTE,Napoleon,Napoleon,BLP42NTE,Napoleon 42 Inch Ascent Premium Direct Vent Linear Gas Fireplace,npl-blp42nte,/products/gas-fireplaces/npl-blp42nte-4c94487c.webp,yes,False,5.0,1,3849.0
88,B,190.4,data/gas-fireplaces-scraped.json,CUI-DVP48FP91N,Empire,Empire,DVP48FP91N,Empire 48 Inch Tahoe Premium Direct Vent Fireplace RF Package,cui-dvp48fp91n,/products/gas-fireplaces/cui-dvp48fp91n-06609424.webp,yes,False,5.0,1,3839.0
89,B,190.3,data/gas-fireplaces-scraped.json,FRK-01FR0342,FireRock,FireRock,01FR0342,FireRock 42 Inch See-Through Vented Masonry Fireplace,frk-01fr0342,/products/gas-fireplaces/frk-01fr0342-dce21ad8.webp,yes,False,4.0,1,4328.99
90,B,190.3,data/gas-fireplaces-scraped.json,SFL-STANFORD-55G-LP-DELUXE-STANFORD-CLEAN-BLK,Sierra,Sierra,STANFORD-55G,Sierra Flame 55 Inch Stanford Deluxe Linear Direct Vent Gas Fireplace with Surround,sfl-stanford-55g-lp-deluxe-stanford-clean-blk,/products/gas-fireplaces/sfl-stanford-55g-lp-deluxe-stanford-clean-blk-a7edfdba.webp,yes,False,3.0,1,4833.59
91,B,190.2,data/gas-fireplaces-scraped.json,SUP-DRT2033TEN,Superior,Superior,DRT2033TEN,Superior DRT2033 Merit Series 33 Inch Top Vent Fireplace with Aged Oak Logs - Electronic Ignition,sup-drt2033ten,/products/gas-fireplaces/sup-drt2033ten-b8eb2a94.webp,yes,False,4.7,10,2169.0
92,B,190.2,data/gas-fireplaces-scraped.json,SFL-STANFORD-55G-LP-DELUXE-STANFORD-SUR-SS,Sierra,Sierra,STANFORD-55G,Sierra Flame 55 Inch Stanford Deluxe Linear Direct Vent Gas Fireplace with Decorative Surround,sfl-stanford-55g-lp-deluxe-stanford-sur-ss,/products/gas-fireplaces/sfl-stanford-55g-lp-deluxe-stanford-sur-ss-a7edfdba.webp,yes,False,3.0,1,4818.39
93,B,190.0,data/outdoor-fireplaces-scraped.json,CUI-OLL60FP12SN,Empire,Empire,OLL60FP12SN,Empire OLL60FP12SN Carol Rose Outdoor Stainless Steel Linear Fireplace,cui-oll60fp12sn,/products/outdoor-fireplaces/cui-oll60fp12sn-ce595907.webp,yes,False,5.0,5,5545.0
94,B,189.9,data/outdoor-fireplaces-scraped.json,NPL-RSS42NE,Napoleon,Napoleon,RSS42NE,Napoleon 42 Inch RSS42NE Riverside Clean Face Outdoor Vent Free Gas Fireplace,npl-rss42ne,/products/outdoor-fireplaces/npl-rss42ne-577eb19a.webp,yes,False,5.0,11,3789.0
95,B,189.5,data/gas-fireplaces-scraped.json,SUP-VRE3242ZENWS,Superior,Superior,VRE3242ZENWS,Superior 42 Inch VRE3200 Outdoor Vent Free Outdoor Fireplace Firebox,sup-vre3242zenws,/products/gas-fireplaces/sup-vre3242zenws-5e6cb356.webp,yes,False,4.0,1,4249.0
96,B,189.1,data/electric-fireplaces-scraped.json,DPX-BF39DXP,Dimplex,Dimplex,BF39DXP,Dimplex 39 Inch Deluxe Built-In Electric Fireplace Firebox,dpx-bf39dxp,/products/electric-fireplaces/dpx-bf39dxp-ca95742a.webp,yes,True,5.0,3,1312.49
97,B,189.0,data/gas-fireplaces-scraped.json,MGO-DRSQ38NI,Montigo,Montigo,DRSQ38NI,Montigo 38 Inch DelRay Basic Square Direct Vent Gas Fireplace,mgo-drsq38ni,/products/gas-fireplaces/mgo-drsq38ni-08f4dce1.webp,yes,False,5.0,1,3699.0
98,B,189.0,data/electric-fireplaces-scraped.json,LDH-VEW60-A,Litedeer,Litedeer,VEW60-A,Litedeer Homes 60 Inch Mercury Smart Water Vapor Fireplace with See Through Option,ldh-vew60-a,/products/electric-fireplaces/ldh-vew60-a-bac18c18.webp,yes,False,5.0,2,4999.0
99,B,189.0,data/electric-fireplaces-scraped.json,NPL-NEFL65LCD-3SV,Napoleon,Napoleon,NEFL65LCD-3SV,Napoleon 65 Inch Luminex LCD Built-In Bay Front Linear Electric Fireplace with Corner Options,npl-nefl65lcd-3sv,/products/electric-fireplaces/npl-nefl65lcd-3sv-dae9ab64.webp,yes,False,5.0,2,5029.0
100,B,188.6,data/gas-fireplaces-scraped.json,EMP-EMBC4SUH-DVD42FP30N,Empire,Empire,EMBC4SUH-DVD42FP30N,Empire Corner Mantel and 42 Inch Tahoe Deluxe Direct Vent Fireplace - Millivolt Pilot,emp-embc4suh-dvd42fp30n,/products/gas-fireplaces/emp-embc4suh-dvd42fp30n-13249422.webp,yes,False,5.0,1,3658.0
101,B,188.4,data/gas-fireplaces-scraped.json,MGO-DRL3613NI-2,Montigo,Montigo,DRL3613NI-2,Montigo 36 Inch DelRay Full Load Linear Direct Vent Gas Fireplace,mgo-drl3613ni-2,/products/gas-fireplaces/mgo-drl3613ni-2-1c2d160b.webp,yes,False,3.0,1,4639.0
102,B,188.2,data/gas-fireplaces-scraped.json,MON-AVFL48NIF,Monessen,Monessen,AVFL48NIF,Monessen 48 Inch Artisan Vent Free Linear Gas Fireplace,mon-avfl48nif,/products/gas-fireplaces/mon-avfl48nif-8b2bb017.webp,yes,False,4.0,1,4119.0
103,B,188.2,data/gas-fireplaces-scraped.json,MSL-MFP49VF,Mason,Mason Lite,MFP49VF,Mason Lite 49 Inch Vent Free Gas Masonry Fireplace Firebox Kit,msl-mfp49vf,/products/gas-fireplaces/msl-mfp49vf-b41c6bf5.webp,yes,False,5.0,1,3619.19
104,B,188.0,data/gas-fireplaces-scraped.json,NPL-E36NT,Napoleon,Napoleon,E36NT,Napoleon 36 Inch Elevation Direct Vent Gas Fireplace - Millivolt,npl-e36nt,/products/gas-fireplaces/npl-e36nt-a72ce15a.webp,yes,False,5.0,2,3399.0
105,B,188.0,data/gas-fireplaces-scraped.json,FRK-01FR1042,FireRock,FireRock,01FR1042,FireRock 42 Inch California Conventional Masonry Fireplace,frk-01fr1042,/products/gas-fireplaces/frk-01fr1042-ce51eb29.webp,yes,False,4.5,2,3650.39
106,B,188.0,data/gas-fireplaces-scraped.json,NPL-E42NT,Napoleon,Napoleon,E42NT,Napoleon 42 Inch Elevation Direct Vent Gas Fireplace - Millivolt,npl-e42nt,/products/gas-fireplaces/npl-e42nt-a72ce15a.webp,yes,False,5.0,1,3599.0
107,B,188.0,data/outdoor-fireplaces-scraped.json,FGO-OFP-60LECO-N,Firegear,Firegear,OFP-60LECO-N,Firegear 60 Inch Kalea Bay Outdoor Linear Fireplace,fgo-ofp-60leco-n,/products/outdoor-fireplaces/fgo-ofp-60leco-n-abc899ee.webp,yes,False,5.0,4,5149.0
108,B,188.0,data/outdoor-fireplaces-scraped.json,FGO-OFP-60LECO-NST,Firegear,Firegear,OFP-60LECO-NST,Firegear 60 Inch Kalea Bay See-Through Outdoor Linear Fireplace,fgo-ofp-60leco-nst,/products/outdoor-fireplaces/fgo-ofp-60leco-nst-abc899ee.webp,yes,False,5.0,4,5728.0
