sku,brand,name,categoryFile,productUrl,sourceImageUrl,imageUrl
LOPI-ROCKPORTNEXGENHYBRID,Lopi,Lopi Rockport NexGen Hybrid™,wood-stoves-scraped.json,https://www.lopistoves.com/product/rockport-nexgen-hybrid/,https://www.lopistoves.com/wp-content/uploads/Rockport_S_NewIron_800.jpg,/products-upgraded/wood-stoves/lopi-rockportnexgenhybrid.webp
LOPI-LIBERTYNEXGENHYBRID,Lopi,Lopi Liberty NexGen Hybrid™,wood-stoves-scraped.json,https://www.lopistoves.com/product/liberty-nexgen-hybrid/,https://www.lopistoves.com/wp-content/uploads/Liberty_S_800.jpg,/products-upgraded/wood-stoves/lopi-libertynexgenhybrid.webp
LOPI-ANSWERNEXGENHYBRID,Lopi,Lopi Answer NexGen Hybrid™,wood-stoves-scraped.json,https://www.lopistoves.com/product/answer-nexgen-hybrid/,https://www.lopistoves.com/wp-content/uploads/AnswerNGHSt_S_800.jpg,/products-upgraded/wood-stoves/lopi-answernexgenhybrid.webp
LOPI-ENDEAVORNEXGENHYBRID,Lopi,Lopi Endeavor NexGen Hybrid™,wood-stoves-scraped.json,https://www.lopistoves.com/product/endeavor-nexgen-hybrid/,https://www.lopistoves.com/wp-content/uploads/Endeavor_S_800.jpg,/products-upgraded/wood-stoves/lopi-endeavornexgenhybrid.webp
LOPI-AGPPELLETINSERT,Lopi,Lopi AGP Pellet Insert,pellet-inserts-scraped.json,https://www.lopistoves.com/product/agp-pellet-insert/,https://www.lopistoves.com/wp-content/uploads/L_AGP_Insert_LifestyleNEW_1600.jpg,/products-upgraded/pellet-inserts/lopi-agppelletinsert.webp
LOPI-DEERFIELDII,Lopi,Lopi Deerfield Ii,gas-stoves-scraped.json,https://www.lopistoves.com/product/deerfield-ii/,https://www.lopistoves.com/wp-content/uploads/DeerfieldII_S.jpg,/products-upgraded/gas-stoves/lopi-deerfieldii.webp
LOPI-AGPPELLETSTOVE,Lopi,Lopi AGP Pellet Stove,pellet-stoves-scraped.json,https://www.lopistoves.com/product/agp-pellet-stove/,https://www.lopistoves.com/wp-content/uploads/AGPPellet_BlackPanels_800.jpg,/products-upgraded/pellet-stoves/lopi-agppelletstove.webp
LOPI-MEDIUMFLUSHWOODNEXGENHYBRIDRECTANGULAR,Lopi,Lopi Medium Flush Wood NexGen Hybrid™ Rectangular,wood-stoves-scraped.json,https://www.lopistoves.com/product/medium-flush-wood-nexgen-hybrid-rectangular/,https://www.lopistoves.com/wp-content/uploads/L_MdFW_TimesSquare_GS_1600.jpg,/products-upgraded/wood-stoves/lopi-mediumflushwoodnexgenhybridrectangular.webp
LOPI-MEDIUMFLUSHWOODNEXGENHYBRIDARCHED,Lopi,Lopi Medium Flush Wood NexGen Hybrid™ Arched,wood-stoves-scraped.json,https://www.lopistoves.com/product/medium-flush-wood-nexgen-hybrid-arch/,https://www.lopistoves.com/wp-content/uploads/MdFWHFArchIn_Wilmington.jpg,/products-upgraded/wood-stoves/lopi-mediumflushwoodnexgenhybridarched.webp
LOPI-EVERGREENNEXGENHYBRIDINSERT,Lopi,Lopi Evergreen NexGen Hybrid™ Insert,gas-inserts-scraped.json,https://www.lopistoves.com/product/evergreen-nexgen-hybrid-insert/,https://www.lopistoves.com/wp-content/uploads/Evergreen_In.jpg,/products-upgraded/gas-inserts/lopi-evergreennexgenhybridinsert.webp
