sku,status,imageUrl,sourceImageUrl,reason
W020-0722,updated,/products/parts/w020-0722.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/25138/58951/W020-0717-01__27586.1677865179.jpg?c=2,real-photo-found
W010-4258-SER,skipped,,,no-real-photo
2106-071,updated,/products/parts/2106-071.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/15593/30102/2106-010__23767.1556730525.jpg?c=2,real-photo-found
W715-0098,updated,/products/parts/w715-0098.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/25125/61837/W715-0079-1__09948.1710945232.jpg?c=2,real-photo-found
W215-0145,updated,/products/parts/w215-0145.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/26656/61933/W215-0143-SER-1__08738.1710970603.jpg?c=2,real-photo-found
SRV27D8584,skipped,,,no-real-photo
SRV4602-004,skipped,,,no-real-photo
OA10244,skipped,,,no-real-photo
2240008,updated,/products/parts/2240008.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/27523/58845/2240001-02__27441.1677524197.jpg?c=2,real-photo-found
W035-0354,updated,/products/parts/w035-0354.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/16949/34419/W035-0289__71155.1562687831.jpg?c=2,real-photo-found
W020-0021,updated,/products/parts/w020-0021.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/12924/19550/W020-0078-2__52614.1493964847.jpg?c=2,real-photo-found
2300-281,updated,/products/parts/2300-281.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/33930/60810/SRV31326BK-01__23839.1688752147.jpg?c=2,real-photo-found
SRV4083-136,updated,/products/parts/srv4083-136.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/18579/67853/SRV4083-208-1__77632.1756398417.jpg?c=2,real-photo-found
W010-1856,updated,/products/parts/w010-1856.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/26549/56921/W335-0052-2__00472.1664995476.jpg?c=2,real-photo-found
W456-0033,updated,/products/parts/w456-0033.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/13504/57758/W456-0040-1__46479.1671649621.jpg?c=2,real-photo-found
32427,updated,/products/parts/32427.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/29180/66885/4030-069-01__52305.1751482294.jpg?c=2,real-photo-found
35M42,updated,/products/parts/35m42.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/14436/45509/J5330__84263.1589410316.jpg?c=2,real-photo-found
W615-0075,skipped,,,no-real-photo
W010-3686,skipped,,,no-real-photo
W090-0251,skipped,,,no-real-photo
30528-HHT,updated,/products/parts/30528-hht.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/18236/50023/28380__11705.1613666781.jpg?c=2,real-photo-found
W715-1144-SER,skipped,,,no-real-photo
33694,updated,/products/parts/33694.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/27651/53726/33450-1__64214.1632010993.jpg?c=2,real-photo-found
W080-0945,skipped,,,no-real-photo
7034-006,skipped,,,no-real-photo
J6686,updated,/products/parts/j6686.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/20218/56629/F2948-1__66961.1661800376.jpg?c=2,real-photo-found
73D1004K,updated,/products/parts/73d1004k.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/23666/56622/93D0006K-1__62456.1661799377.jpg?c=2,real-photo-found
W200-0508,skipped,,,no-real-photo
W135-0376,updated,/products/parts/w135-0376.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/13054/67934/W135-0209-1__62974.1756407500.jpg?c=2,real-photo-found
20303429K,updated,/products/parts/20303429k.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/21769/58228/58D0150K-1__33493.1674148252.jpg?c=2,real-photo-found
