category_file,category,sku,brand,name,slug,current_image_url,product_url
gas-fireplaces-scraped.json,gas-fireplaces,ODL-VOFB36-T,Outdoor,Outdoor Lifestyle 36 Inch Vesper Vent Free Outdoor Gas Firebox,odl-vofb36-t,/products/gas-fireplaces/odl-vofb36-t-983ac775.webp,https://www.efireplacestore.com/odl-vofb36-t.html
gas-fireplaces-scraped.json,gas-fireplaces,MON-AVFL42NIF-BU,Monessen,Monessen 42 Inch Artisan Vent Free Linear Gas Fireplace - 34K BTU,mon-avfl42nif-bu,/products/gas-fireplaces/mon-avfl42nif-bu-8b2bb017.webp,https://www.efireplacestore.com/mon-avfl42nif-bu.html
gas-fireplaces-scraped.json,gas-fireplaces,CUI-DVP36SP32EN,Empire,Empire 36 Inch Tahoe Premium Direct Vent See Through Fireplace,cui-dvp36sp32en,/products/gas-fireplaces/cui-dvp36sp32en-854dc62a.webp,https://www.efireplacestore.com/cui-dvp36sp32en.html
gas-fireplaces-scraped.json,gas-fireplaces,EMP-DVD42FP71N,Empire,Empire 42 Inch Deluxe Tahoe Direct Vent Fireplace with Blower - Intermittent Pilot,emp-dvd42fp71n,/products/gas-fireplaces/emp-dvd42fp71n-200545f1.webp,https://www.efireplacestore.com/emp-dvd42fp71n.html
gas-fireplaces-scraped.json,gas-fireplaces,MGO-DRL4813NI-2,Montigo,Montigo 48 Inch DelRay Full Load Linear Direct Vent Gas Fireplace,mgo-drl4813ni-2,/products/gas-fireplaces/mgo-drl4813ni-2-9ad1b35f.webp,https://www.efireplacestore.com/mgo-drl4813ni-2.html
gas-fireplaces-scraped.json,gas-fireplaces,CUI-VFD32FB0L,Empire,Empire 32 Inch Breckenridge Deluxe Vent Free Louvered Gas Fireplace Firebox,cui-vfd32fb0l,/products/gas-fireplaces/cui-vfd32fb0l-23df0518.webp,https://www.efireplacestore.com/cui-vfd32fb0l.html
gas-fireplaces-scraped.json,gas-fireplaces,MON-LCUF42CR-C,Monessen,Monessen 42 Inch Lo-Rider Clean Face Vent Free Gas Fireplace Firebox,mon-lcuf42cr-c,/products/gas-fireplaces/mon-lcuf42cr-c-88fdbbd3.webp,https://www.efireplacestore.com/mon-lcuf42cr-c.html
gas-fireplaces-scraped.json,gas-fireplaces,MON-LSTF36-B,Monessen,Monessen 36 Inch Lo-Rider Clean Face See-Through Vent-Free Fireplace Firebox with Traditional Firebrick,mon-lstf36-b,/products/gas-fireplaces/mon-lstf36-b-193c3a81.webp,https://www.efireplacestore.com/mon-lstf36-b.html
gas-fireplaces-scraped.json,gas-fireplaces,KGM-ZCVRB3622NE,Kingsman,Kingsman Zero Clearance Clean View Direct Vent Linear IPI Gas Fireplace - 36 Inch - ZCVRB3622E,kgm-zcvrb3622ne,/products/gas-fireplaces/kgm-zcvrb3622ne-5a7a8aef.webp,https://www.efireplacestore.com/kgm-zcvrb3622ne.html
gas-fireplaces-scraped.json,gas-fireplaces,EMP-VFSL30FP70N,Empire,Empire 30 Inch Boulevard Slim Line Vent Free Linear Gas Fireplace,emp-vfsl30fp70n,/products/gas-fireplaces/emp-vfsl30fp70n-56882965.webp,https://www.efireplacestore.com/emp-vfsl30fp70n.html
