sku,status,imageUrl,sourceImageUrl,reason
W660-0026,updated,/products/parts/w660-0026.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/16407/28079/W660-0128__96848.1538588867.jpg?c=2,
50-1111,updated,/products/parts/50-1111.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/5533/24280/50-3089_photo1__41964.1527706158.JPG?c=2,
W710-0024,updated,/products/parts/w710-0024.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/13064/27847/W135-0238-ser__63879.1537561286.jpg?c=2,
30002232A,updated,/products/parts/30002232a.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/3346/30699/30002170A-1__39851.1557857305.jpg?c=2,
TFK-AF,updated,/products/parts/tfk-af.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/13760/19958/W720-0160-2__73270.1493968411.jpg?c=2,
W456-0031,updated,/products/parts/w456-0031.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/13504/57758/W456-0040-1__46479.1671649621.jpg?c=2,
30004673A,updated,/products/parts/30004673a.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/3637/46232/30004645__53578.1592240957.jpg?c=2,
OA10121,no-real-photo,,,no candidate product image found
PL62341,no-real-photo,,,no candidate product image found
70BGL,updated,/products/parts/70bgl.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/12717/59369/W010-0621-01__04038.1680626263.jpg?c=2,
SE58517,no-real-photo,,,no candidate product image found
EF-054-220V,updated,/products/parts/ef-054-220v.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/14497/24011/EF-002-220V_1__13332.1527183760.JPG?c=2,
891865,no-real-photo,,,no candidate product image found
49152,updated,/products/parts/49152.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/4525/40764/49133-1__50312.1583359382.jpg?c=2,
30000127,updated,/products/parts/30000127.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/22619/61944/73D0159K-4__01072.1711045553.jpg?c=2,
PL40171,no-real-photo,,,no candidate product image found
PL49193,no-real-photo,,,no candidate product image found
SE15098,updated,/products/parts/se15098.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/11918/18106/SE15099-2__12364.1493958687.jpg?c=2,
PL48173,updated,/products/parts/pl48173.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/23509/46487/21388__81001.1592513583.jpg?c=2,
SE24233,updated,/products/parts/se24233.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/4430/27830/44106__38475.1537548721.jpg?c=2,
21085,updated,/products/parts/21085.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/3881/6189/30526-2__68247.1493907704.jpg?c=2,
W725-0041,no-real-photo,,,no candidate product image found
0603-416001,updated,/products/parts/0603-416001.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/8042/12942/9920-101435-2__96553.1493935954.jpg?c=2,
30004622,updated,/products/parts/30004622.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/3637/46232/30004645__53578.1592240957.jpg?c=2,
7000958A,updated,/products/parts/7000958a.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/132/29733/0000003__72405.1731626472.jpg?c=2,
FPWI,no-real-photo,,,no candidate product image found
30005956,fetch-error,,,HTTP Error 404: Not Found
SRV7093-153,updated,/products/parts/srv7093-153.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/12506/52044/SRV7093-023-1__83889.1627163740.jpg?c=2,
W585-0245,no-real-photo,,,no candidate product image found
30005155,updated,/products/parts/30005155.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/39394/57662/NGKMDVI-1__01164.1671472864.jpg?c=2,
3PVP-24B,no-real-photo,,,no candidate product image found
B81NL-1,updated,/products/parts/b81nl-1.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/13620/67149/W565-0097-1__62596.1752178641.jpg?c=2,
50-625,updated,/products/parts/50-625.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/5696/9636/50-660-2__44362.1493920543.jpg?c=2,
PL42035,no-real-photo,,,no candidate product image found
EPLG,no-real-photo,,,no candidate product image found
PL67534,no-real-photo,,,no candidate product image found
NM228-M,updated,/products/parts/nm228-m.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/13688/19879/W660-0065-2__57080.1493968100.jpg?c=2,
80P53909-R,updated,/products/parts/80p53909-r.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/7030/54043/80P30650-R__35343.1633532384.jpg?c=2,
30004321A,updated,/products/parts/30004321a.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/23720/60640/IMG_5739__87508.1687532755.jpg?c=2,
GBAT,no-real-photo,,,no candidate product image found
1409083,updated,/products/parts/1409083.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/1521/41741/1308631__42454.1585065234.jpg?c=2,
PL52618,updated,/products/parts/pl52618.png,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/2645/61381/image__50005.1694633381.png?c=2,
W585-0052,no-real-photo,,,no candidate product image found
DL50,no-real-photo,,,no candidate product image found
SRV7080-152,updated,/products/parts/srv7080-152.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/17376/49694/SRV7080-129__37654.1610736870.jpg?c=2,
SE64373,updated,/products/parts/se64373.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/4412/40693/44075__61752.1583262612.jpg?c=2,
W500-0313,updated,/products/parts/w500-0313.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/13544/24684/W500-0141__57912.1528238187.jpg?c=2,
PL07727,updated,/products/parts/pl07727.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/11057/27076/PL07728-1__21438.1533325868.jpg?c=2,
