Title,Brand,Model_SKU,Current_Price,Original_Price,Product_URL,Image_URL,Description
Napoleon 38 Inch Vector Direct Vent Linear Gas Fireplace - Electronic Ignition,Napoleon,1,$50,N/A,https://www.efireplacestore.com/npl-lv38n-1.html,https://www.efireplacestore.com/images/Icon_Image/lv38n-1-web-gallery-01-vector-lv38-prod-straight-birchlogs-shorefire-classicfrontblack-1708625950_6317.jpg,"Enjoy an easy fire with the Napoleon 38 Inch Vector Series Direct Vent Gas Fireplace. With electronic ignition, you can easily light this fire with a wall switch, a"
Napoleon Ascent 42 Inch Direct Vent Gas Fireplace Millivolt - Millivolt Pilot,Napoleon,B42NTR,$50,N/A,https://www.efireplacestore.com/npl-b42ntr.html,https://www.efireplacestore.com/images/Icon_Image/napoleon-ascent-42-inch-direct-vent-gas-fireplace-millivolt-millivolt-pilot-32.gif,"You want your fire appliance to just work, and Napoleon makes it happen. The stove and <a href=""https://www.efireplacestore.com/fireplaces.html"">the fireplace</a> ha"
Superior 42 Inch VRE6000 Vent Free Mosaic Masonry Outdoor Fireplace Firebox,Superior,VRE6042,$50,N/A,https://www.efireplacestore.com/sup-vre6042.html,https://www.efireplacestore.com/images/Icon_Image/superior-42-vre6000-vent-free-masonry-outdoor-firebox-33.gif,N/A
Napoleon 38 Inch See-Through Vector Direct Vent Linear Gas Fireplace - Electronic Ignition,Napoleon,1,$50,N/A,https://www.efireplacestore.com/npl-lv38n2-1.html,https://www.efireplacestore.com/images/Icon_Image/lv38n2-1-web-gallery-01-vector-lv38st-prod-straight-birchlogs-shorefire-classicfrontblack-1708629796_5709.jpg,N/A
Napoleon BHD4 Ascent See-Thru Direct Vent Gas Fireplace with Fire Cradle,Napoleon,BHD4PFCN,$50,N/A,https://www.efireplacestore.com/npl-bhd4pfcn.html,https://www.efireplacestore.com/images/Icon_Image/napoleon-bhd4-ascent-multi-view-direct-vent-peninsula-gas-fireplace-with-fire-cradle-73.gif,N/A
Superior 40 Inch DRT6300 Series Direct Vent Fireplace with Power Vent,Superior,DRT6340TYN,$50,N/A,https://www.efireplacestore.com/sup-drt6340tyn.html,https://www.efireplacestore.com/images/Icon_Image/superior-drt6340-signature-series-40-top-vent-louverless-fireplace-electronic-ignition-94.gif,N/A
Empire 32 Inch Breckenridge Premium Vent Free Flush Front Fireplace Firebox with Banded Brick Ceramic Liner,Empire,VFP32FB2EF,$50,N/A,https://www.efireplacestore.com/cui-vfp32fb2ef.html,https://www.efireplacestore.com/images/Icon_Image/breckenridge-deluxe-vent-free-flush-gas-firebox-with-aged-brick-ceramic-liner-42-vfd-42-fb0f-77.gif,"By creating an inviting <a href=""https://www.efireplacestore.com/fireplaces.html"">fireplace</a> area, you can create a warmer atmosphere in your home, and you can im"
Empire Corner Mantel and Vail 32 Inch Vent Free Gas Fireplace - Intermittent Pilot,Empire,VFPA32BP70LN,$50,N/A,https://www.efireplacestore.com/emp-embc1suh-vfpa32bp70ln.html,https://www.efireplacestore.com/images/Icon_Image/empire-corner-cabinet-mantel-with-base-and-26-inch-vail-vent-free-gas-fireplace-intermittent-pilot-54.gif,N/A
Superior 55 Inch DRL4048 Direct Vent Linear Gas Fireplace,Superior,DRL4048TEN,$50,N/A,https://www.efireplacestore.com/sup-drl4048ten.html,https://www.efireplacestore.com/images/Icon_Image/drl4048ten-1724849382_3286.jfif,N/A
Superior 40 Inch DRC3000 Contemporary Direct Vent Gas Fireplace - Electronic Ignition,Superior,E,$50,N/A,https://www.efireplacestore.com/sup-drc3040den-e.html,https://www.efireplacestore.com/images/Icon_Image/superior-dvfp-drc3000_reflblk-pd-1136x852-1-1731968224_2503.jpg,N/A
Mason Lite 60 Inch Linear B-Vent Gas Masonry Fireplace Firebox,Mason,NT,$50,N/A,https://www.efireplacestore.com/msl-lmfp60-nt.html,https://www.efireplacestore.com/images/Icon_Image/mason-lite-108-inch-linear-b-vent-gas-firebox-27.gif,N/A
Superior 35 Inch DRT3000 Direct Vent Gas Fireplace - Millivolt Ignition,Superior,E,$50,N/A,https://www.efireplacestore.com/sup-drt3035dmn-e.html,https://www.efireplacestore.com/images/Icon_Image/superior-dvfp-drt3000_vistapd-1136x852-1-1732035819_7182.jpg,N/A
